store_id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product Material;Product Collection Title;Product Collection Handle;Product Type;Column1;Product Discountable;Product Profile Name;Product Profile Type;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Manage Inventory;Price USD;Option 1 Name;Option 1 Value;Option 2 Name;Option 2 Value;Sales Channel 1 Name
1;050 Clear View Fence 2.1Mx3.05 (75X50Mm 3X4Mm) Pc Finish;050 Clear View Fence 2.1Mx3.05 (75X50Mm 3X4Mm) Pc Finish;;050 Clear View Fence 2.1Mx3.05 (75X50Mm 3X4Mm) Pc Finish;published;;;;;;;;;;;;;FALSE;;;;33017;;10;TRUE;2112;;;;;
1;105 Zinc Alloy Sliding Glass Door Lock;105 Zinc Alloy Sliding Glass Door Lock;;105 Zinc Alloy Sliding Glass Door Lock;published;;;;;;;;;;;;;FALSE;;;;3215;;10;TRUE;0;;;;;
1;12900 Dust Pan W/Brush Fancy Big Queen;12900 Dust Pan W/Brush Fancy Big Queen;;12900 Dust Pan W/Brush Fancy Big Queen;published;;;;;;;;;;;;;FALSE;;;;12961;;10;TRUE;58;;;;;
1;16307 Ceiling Duster Extendable Handle;16307 Ceiling Duster Extendable Handle;;16307 Ceiling Duster Extendable Handle;published;;;;;;;;;;;;;FALSE;;;;1836;;10;TRUE;88;;;;;
1;253 Clear View Fence 2.1Mx3.05 (75X25Mmx3X4Mm) Dia Pc Finish;253 Clear View Fence 2.1Mx3.05 (75X25Mmx3X4Mm) Dia Pc Finish;;253 Clear View Fence 2.1Mx3.05 (75X25Mmx3X4Mm) Dia Pc Finish;published;;;;;;;;;;;;;FALSE;;;;33016;;10;TRUE;2112;;;;;
1;3510 Clear View Fence 2.1Mx3.05 75X 12.7Mmx3X4Mm Dia;3510 Clear View Fence 2.1Mx3.05 75X 12.7Mmx3X4Mm Dia;;3510 Clear View Fence 2.1Mx3.05 75X 12.7Mmx3X4Mm Dia;published;;;;;;;;;;;;;FALSE;;;;33015;;10;TRUE;3763;;;;;
1;3M Face Mask Valve Ffp2 3M 8822;3M Face Mask Valve Ffp2 3M 8822;;3M Face Mask Valve Ffp2 3M 8822;published;;;;;;;;;;;;;FALSE;;;;28017;;10;TRUE;51.5;;;;;
1;3M Spray Gun Gravity Hvhp Acrf 1.4Mm Sgh827;3M Spray Gun Gravity Hvhp Acrf 1.4Mm Sgh827;;3M Spray Gun Gravity Hvhp Acrf 1.4Mm Sgh827;published;;;;;;;;;;;;;FALSE;;;;27459;;10;TRUE;554;;;;;
1;7 Way Function Nozzle-0009088;7 Way Function Nozzle-0009088;;7 Way Function Nozzle-0009088;published;;;;;;;;;;;;;FALSE;;;;9088;;10;TRUE;153;;;;;
1;7480R Multi Adaptor 3Pin 15A 250V 4Way;7480R Multi Adaptor 3Pin 15A 250V 4Way;;7480R Multi Adaptor 3Pin 15A 250V 4Way;published;;;;;;;;;;;;;FALSE;;;;2187;;10;TRUE;28;;;;;
1;9006P82 Sgl Bowl Cer Sink 82.5X22.5X47Mm;9006P82 Sgl Bowl Cer Sink 82.5X22.5X47Mm;;9006P82 Sgl Bowl Cer Sink 82.5X22.5X47Mm;published;;;;;;;;;;;;;FALSE;;;;5159;;10;TRUE;4885;;;;;
